timestamp,total_waiting,ns_waiting,ew_waiting
1758162026.2683213,20,0,0
1758163369.8869874,4,0,0
1758163965.5629225,2,0,0
1758164560.9040637,4,0,0
1758165156.045423,4,0,0
1758165751.393962,1,0,0
1758166287.044722,1,0,0
1758177832.1945956,2,0,0
1758188124.4240866,2,0,0
1758188244.0074759,4,0,0
1758188386.8700953,4,0,0
